evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
111,6.0,1,zstd,zipfian,mean,81.69844818115234,81.175,82.355,0.438,33060.528589228394,32798.23,33268.79,178.88,797.96
112,8.0,1,zstd,zipfian,mean,82.41942963600158,81.358,83.846,1.053,32982.13975836855,32544.3,33321.18,275.5,805.16
113,0.25,100,zstd,zipfian,mean,87.86015920639038,87.155,88.592,0.485,30743.0827505888,30531.07,31024.29,179.61,812.82
114,0.5,100,zstd,zipfian,mean,85.01496753692626,83.987,86.298,0.793,31702.24427493483,31190.6,32100.31,315.21,820.24
115,1.0,100,zstd,zipfian,mean,81.77586708068847,81.102,82.361,0.435,33022.72440304395,32760.45,33323.79,192.32,827.38
116,2.0,100,zstd,zipfian,mean,82.12671928405761,81.683,83.076,0.497,32865.92593878704,32481.95,33049.32,202.49,834.56
117,4.0,100,zstd,zipfian,mean,81.89910068511963,81.039,82.952,0.705,32976.76130789782,32521.15,33357.22,303.29,841.72
118,6.0,100,zstd,zipfian,mean,82.5023865222931,81.615,83.045,0.497,32888.05144084171,32511.24,33276.14,278.54,848.93
119,8.0,100,zstd,zipfian,mean,82.39439697265625,81.965,82.831,0.343,33016.66014323613,32814.2,33243.3,139.71,856.13
120,0.25,500,zstd,zipfian,mean,87.33379635810851,86.241,88.194,0.833,30827.809898810512,30501.25,31211.9,289.4,863.74
121,0.5,500,zstd,zipfian,mean,85.04495420455933,84.437,85.928,0.522,31800.051753257634,31570.25,32211.79,218.88,871.16
122,1.0,500,zstd,zipfian,mean,82.25971131324768,81.801,83.322,0.561,32818.29739080788,32387.43,32994.79,226.13,878.35
123,2.0,500,zstd,zipfian,mean,81.43178238868714,81.298,81.642,0.114,33162.41343594982,33080.49,33234.67,49.33,885.47
124,4.0,500,zstd,zipfian,mean,81.59351696968079,81.257,82.36,0.398,33128.38871480165,32783.95,33375.92,194.93,892.6
125,6.0,500,zstd,zipfian,mean,82.14270024299621,81.624,82.846,0.457,32906.91342874615,32587.39,33066.39,166.23,899.78
126,8.0,500,zstd,zipfian,mean,82.27711410522461,80.952,83.436,0.843,32965.23122895601,32680.99,33367.66,254.61,906.97
127,0.25,1,none,latest,mean,82.27057619094849,81.158,83.328,0.798,32878.29795719804,32479.89,33307.75,276.22,914.16
128,0.5,1,none,latest,mean,81.80034217834472,81.121,82.445,0.427,32971.7371107671,32693.09,33249.34,181.22,921.31
129,1.0,1,none,latest,mean,82.35175161361694,81.589,83.455,0.737,32823.62423757155,32484.84,33086.48,222.52,928.5
130,2.0,1,none,latest,mean,82.32136664390563,81.584,83.532,0.727,32915.792141522645,32450.25,33529.8,362.51,935.7
131,4.0,1,none,latest,mean,82.49079523086547,81.445,83.948,0.871,32817.9667165373,32107.16,33149.46,367.98,942.9
132,6.0,1,none,latest,mean,82.19386305809022,81.217,83.101,0.648,32818.77273558662,32435.86,33234.24,274.76,950.09
133,8.0,1,none,latest,mean,81.6262225151062,81.035,82.066,0.382,33054.92337575434,32865.6,33301.25,165.51,957.22
134,0.25,100,none,latest,mean,81.83912897109985,80.866,82.607,0.585,33066.23143642717,32798.23,33388.11,213.58,964.38
135,0.5,100,none,latest,mean,82.69088950157166,81.437,84.782,1.174,32666.192470350805,31749.97,33123.29,478.45,971.6
136,1.0,100,none,latest,mean,82.65513124465943,82.14,83.366,0.409,32779.79592594904,32737.41,32836.51,39.53,978.82
137,2.0,100,none,latest,mean,81.60947093963622,80.049,82.534,0.924,33067.04413706924,32670.98,33736.15,394.33,985.96
138,4.0,100,none,latest,mean,82.10596489906311,81.413,83.009,0.547,32849.985738907555,32475.36,33143.88,228.46,993.13
139,6.0,100,none,latest,mean,82.29306025505066,81.392,82.801,0.484,32775.33672143327,32572.05,33149.03,199.92,1000.32
140,8.0,100,none,latest,mean,83.20277085304261,80.853,84.527,1.237,32625.679947577726,32029.23,33385.06,452.45,1007.59
141,0.25,500,none,latest,mean,82.3827518939972,81.413,83.749,0.757,32810.5438770878,32560.45,33137.44,186.07,1014.79
142,0.5,500,none,latest,mean,82.38676204681397,81.301,83.886,0.873,32756.220129140653,32127.3,33175.66,352.06,1021.99
143,1.0,500,none,latest,mean,82.30446734428406,81.415,83.129,0.631,32763.549133385088,32400.55,33143.02,271.97,1029.18
144,2.0,500,none,latest,mean,82.93266911506653,82.148,84.081,0.695,32626.788363819775,32403.42,32833.14,175.48,1036.42
145,4.0,500,none,latest,mean,82.6256049156189,81.925,83.748,0.644,32811.44355701677,32454.36,33096.74,223.89,1043.64
146,6.0,500,none,latest,mean,82.58220586776733,82.091,83.483,0.522,32835.67197285524,32702.28,33040.78,118.32,1050.86
147,8.0,500,none,latest,mean,82.59110941886902,81.627,83.402,0.714,32802.89451710561,32309.77,33518.38,436.31,1058.07
148,0.25,1,snappy,latest,mean,82.9584409236908,82.07,84.342,0.798,32993.35521194159,32597.76,33259.71,236.94,1065.32
149,0.5,1,snappy,latest,mean,81.89244589805602,80.656,83.355,0.948,32999.40096608808,32313.03,33516.63,395.67,1072.48
150,1.0,1,snappy,latest,mean,81.80528082847596,80.779,82.697,0.754,32964.846828870766,32585.31,33401.62,320.29,1079.63
151,2.0,1,snappy,latest,mean,81.51218228340149,80.771,82.055,0.507,33083.456895477124,32856.32,33404.67,217.49,1086.76
152,4.0,1,snappy,latest,mean,83.62800841331482,81.273,87.4,2.065,32780.35233586933,32497.21,33176.95,252.98,1094.06
153,6.0,1,snappy,latest,mean,82.04945197105408,81.38,82.881,0.551,32848.04543660959,32495.56,33123.29,228.4,1101.23
154,8.0,1,snappy,latest,mean,82.38328261375428,81.311,83.741,1.014,32716.66664609672,32144.65,33165.35,424.29,1108.43
155,0.25,100,snappy,latest,mean,82.12893643379212,81.18,83.055,0.642,33015.18463136095,32651.81,33365.05,273.53,1115.6
156,0.5,100,snappy,latest,mean,82.50287160873413,81.635,84.0,0.838,32685.677164628996,32073.77,33043.34,345.57,1122.81
157,1.0,100,snappy,latest,mean,81.56918129920959,80.688,82.113,0.483,33083.47131043069,32851.26,33451.81,205.48,1129.94
158,2.0,100,snappy,latest,mean,81.83396334648133,81.446,82.103,0.275,33131.09427382701,32866.44,33435.21,199.46,1137.1
159,4.0,100,snappy,latest,mean,82.51232724189758,81.284,85.989,1.755,33085.98974612844,32838.62,33352.44,170.79,1144.31
