evaluation_id,temperature,iteration,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,accepted,elapsed_minutes
39,0.0523722368882474,1,8.0,1,zstd,zipfian,mean,81.93373374938965,81.037,82.553,0.542,33058.14779534053,32814.2,33367.22,195.17,True,229.74
40,0.0484610989543321,1,8.0,500,zstd,zipfian,mean,82.40766940116882,81.468,83.602,0.78,33084.66797855857,32631.83,33353.75,253.39,True,236.94
41,0.0448420432541918,1,8.0,500,snappy,zipfian,mean,81.57642970085143,80.928,82.145,0.455,33082.46914698891,32835.25,33356.35,199.88,True,244.07
42,0.0414932572021471,1,8.0,1,snappy,zipfian,mean,82.16147737503051,81.938,82.603,0.229,32833.08139135597,32651.4,32930.28,95.26,True,251.25
43,0.0383945571677891,1,8.0,1,zstd,zipfian,mean,81.93373374938965,81.037,82.553,0.542,33058.14779534053,32814.2,33367.22,195.17,True,251.25
44,0.0355272668262433,1,4.0,1,zstd,zipfian,mean,81.85300970077515,81.37,82.658,0.46,33004.33897115402,32624.35,33220.0,212.79,True,258.4
45,0.0328741045931894,1,4.0,1,zstd,latest,mean,81.75766444206238,80.54,82.209,0.617,33062.242710090315,32879.11,33583.9,264.1,True,265.55
46,0.0304190794661879,1,4.0,1,zstd,zipfian,mean,81.85300970077515,81.37,82.658,0.46,33004.33897115402,32624.35,33220.0,212.79,True,265.55
47,0.0281473946445359,1,4.0,100,zstd,zipfian,mean,82.23994092941284,81.273,83.156,0.626,32846.458437655834,32454.36,33247.19,263.44,True,272.74
48,0.026045358346754,1,4.0,100,snappy,zipfian,mean,81.71030611991883,80.841,82.801,0.675,33029.46532767407,32568.73,33375.49,276.36,True,279.88
