evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
73,1.0,100,none,zipfian,mean,72.32444543838501,72.001,72.765,0.288,37580.66621583368,37323.22,37758.67,161.93,465.2
74,2.0,100,none,zipfian,mean,72.67131056785584,71.907,73.383,0.471,37408.222655261285,37029.0,37813.33,249.76,471.59
75,4.0,100,none,zipfian,mean,73.99747886657715,72.724,78.243,2.132,37260.43717575539,37053.12,37368.99,111.63,478.09
76,6.0,100,none,zipfian,mean,72.57865943908692,72.387,72.913,0.201,37452.72306336451,37279.74,37568.06,107.09,484.47
77,8.0,100,none,zipfian,mean,72.42821793556213,72.244,72.757,0.189,37528.607188134425,37337.38,37627.14,108.49,490.84
78,0.25,500,none,zipfian,mean,72.31954402923584,71.947,72.744,0.275,37594.66821316432,37393.01,37816.68,146.77,497.2
79,0.5,500,none,zipfian,mean,72.5236397743225,72.162,72.796,0.23,37472.897446398376,37324.86,37661.46,124.93,503.58
80,1.0,500,none,zipfian,mean,72.60926761627198,72.338,72.743,0.161,37429.82035567906,37351.0,37572.47,82.99,509.96
81,2.0,500,none,zipfian,mean,72.74448990821838,72.282,73.074,0.279,37356.82091905056,37186.06,37599.51,148.76,516.36
82,4.0,500,none,zipfian,mean,72.57679686546325,72.093,73.294,0.451,37562.31737341195,37271.6,37719.17,156.66,522.74
83,6.0,500,none,zipfian,mean,72.63601384162902,72.179,73.072,0.323,37412.17114953131,37174.72,37650.93,173.46,529.12
84,8.0,500,none,zipfian,mean,72.66056704521179,72.208,72.976,0.253,37400.40482266234,37220.12,37640.97,138.97,535.51
85,0.25,1,snappy,zipfian,mean,71.81471800804138,71.503,72.135,0.202,37870.09948452897,37716.95,38035.24,102.44,541.83
86,0.5,1,snappy,zipfian,mean,72.25654191970825,71.851,73.012,0.404,37591.57196136561,37213.63,37804.95,204.64,548.19
87,1.0,1,snappy,zipfian,mean,72.54955801963806,72.106,72.835,0.256,37432.78152041997,37287.35,37666.45,139.4,554.57
88,2.0,1,snappy,zipfian,mean,72.24982891082763,71.95,72.938,0.362,37602.60516286547,37214.17,37767.58,203.68,560.92
89,4.0,1,snappy,zipfian,mean,72.30779185295106,71.573,73.049,0.468,37575.96896791422,37171.48,37976.0,255.51,567.28
90,6.0,1,snappy,zipfian,mean,72.21586833000183,71.875,72.598,0.284,37620.91057459028,37417.05,37813.33,153.7,573.63
91,8.0,1,snappy,zipfian,mean,72.24678444862366,71.983,72.696,0.285,37604.81703694181,37364.08,37760.34,158.7,579.98
92,0.25,100,snappy,zipfian,mean,72.33266406059265,72.058,72.871,0.287,37573.962200360744,37288.43,37721.95,151.48,586.34
93,0.5,100,snappy,zipfian,mean,72.08057866096496,71.901,72.473,0.214,37699.019890805976,37559.79,37768.7,82.45,592.69
94,1.0,100,snappy,zipfian,mean,72.54249629974365,72.094,73.076,0.313,37429.0128647306,37128.35,37668.11,172.72,599.06
95,2.0,100,snappy,zipfian,mean,72.4795594215393,72.069,73.215,0.404,37586.80380087859,37459.21,37695.84,89.9,605.44
96,4.0,100,snappy,zipfian,mean,72.2683434009552,72.086,72.482,0.132,37586.63503493713,37470.18,37699.17,76.76,611.79
97,6.0,100,snappy,zipfian,mean,72.33067674636841,71.917,72.962,0.354,37557.97634917275,37219.04,37773.71,187.9,618.15
98,8.0,100,snappy,zipfian,mean,72.27486815452576,71.89,72.482,0.235,37585.82753238363,37460.86,37787.65,130.6,624.51
99,0.25,500,snappy,zipfian,mean,72.26802668571472,71.582,72.779,0.427,37616.47201666924,37340.1,37967.55,228.58,630.87
100,0.5,500,snappy,zipfian,mean,72.20424470901489,71.946,72.544,0.229,37611.90139699784,37414.87,37741.97,131.83,637.22
101,1.0,500,snappy,zipfian,mean,72.52325825691223,71.918,73.29,0.494,37444.78752272898,37019.9,37773.71,274.25,643.59
102,2.0,500,snappy,zipfian,mean,72.47721724510193,72.157,72.76,0.255,37469.73985963693,37303.65,37653.15,143.49,649.97
103,4.0,500,snappy,zipfian,mean,72.44971480369568,71.886,72.833,0.352,37481.82671165402,37271.6,37806.07,194.49,656.34
104,6.0,500,snappy,zipfian,mean,72.42525029182434,72.277,72.574,0.105,37502.87631989356,37416.51,37587.91,59.03,662.71
105,8.0,500,snappy,zipfian,mean,72.59280395507812,71.755,73.373,0.52,37416.58265808191,36994.75,37878.79,284.07,669.09
106,0.25,1,zstd,zipfian,mean,73.28972797393799,72.934,73.448,0.193,37093.56106946719,37022.04,37334.11,120.65,675.53
107,0.5,1,zstd,zipfian,mean,72.79050931930541,72.114,73.335,0.416,37354.53173233925,37084.25,37706.95,215.93,681.93
108,1.0,1,zstd,zipfian,mean,72.4624252796173,72.164,72.79,0.235,37560.08857519396,37359.72,37691.96,124.17,688.3
109,2.0,1,zstd,zipfian,mean,72.15278038978576,71.483,72.484,0.353,37704.31623412378,37547.12,38062.95,187.22,694.65
110,4.0,1,zstd,zipfian,mean,72.39846696853638,72.188,72.594,0.166,37573.371142784876,37469.08,37703.06,95.59,701.01
111,6.0,1,zstd,zipfian,mean,72.58874387741089,72.415,72.891,0.182,37474.10321716929,37342.28,37555.38,85.63,707.4
112,8.0,1,zstd,zipfian,mean,72.2714220046997,71.809,72.688,0.286,37635.02774054087,37420.34,37872.62,148.75,713.75
113,0.25,100,zstd,zipfian,mean,72.99841256141663,72.702,73.25,0.241,37256.88390290802,37108.44,37424.71,132.34,720.17
114,0.5,100,zstd,zipfian,mean,72.48782467842102,72.217,72.866,0.246,37520.645091753744,37324.31,37658.13,135.87,726.54
115,1.0,100,zstd,zipfian,mean,72.44244465827941,71.972,73.232,0.431,37556.13754376441,37110.59,37848.55,247.47,732.91
116,2.0,100,zstd,zipfian,mean,72.48099575042724,72.109,72.967,0.335,37538.185688926395,37259.13,37734.74,191.44,739.29
117,4.0,100,zstd,zipfian,mean,72.72429132461548,72.379,73.035,0.22,37407.577856299926,37226.62,37582.95,116.88,745.68
118,6.0,100,zstd,zipfian,mean,72.77735242843627,72.483,73.076,0.194,37360.52848856819,37199.57,37509.16,99.41,752.08
119,8.0,100,zstd,zipfian,mean,72.41295900344849,72.112,72.937,0.288,37583.5373993642,37307.45,37729.73,148.69,758.45
120,0.25,500,zstd,zipfian,mean,74.11206092834473,72.692,78.22,2.065,37251.124402412875,37134.82,37418.15,113.95,764.96
121,0.5,500,zstd,zipfian,mean,72.5359932422638,72.218,72.964,0.336,37501.19030288564,37271.6,37651.49,175.63,771.33
122,1.0,500,zstd,zipfian,mean,72.29146409034729,71.981,72.515,0.217,37647.762152688505,37499.82,37818.35,118.26,777.69
123,2.0,500,zstd,zipfian,mean,72.58603572845459,72.207,73.253,0.365,37479.31768481697,37134.82,37703.61,195.28,784.07
124,4.0,500,zstd,zipfian,mean,72.86371264457702,72.732,73.013,0.116,37328.53512770698,37241.78,37402.84,56.52,790.48
125,6.0,500,zstd,zipfian,mean,72.25979542732239,71.948,72.678,0.245,37649.55298991199,37421.98,37839.6,137.25,796.83
126,8.0,500,zstd,zipfian,mean,72.52464799880981,71.898,73.153,0.505,37496.768088040364,37154.22,37854.7,274.19,803.21
127,0.25,1,none,latest,mean,71.95422420501708,71.425,72.629,0.449,37789.429451777694,37421.43,38073.14,242.29,809.54
128,0.5,1,none,latest,mean,71.94769926071167,71.444,72.412,0.313,37787.383421905084,37535.01,38051.64,166.84,815.87
129,1.0,1,none,latest,mean,71.90956592559814,71.579,72.495,0.308,37820.90205952283,37498.17,37996.29,169.16,822.2
130,2.0,1,none,latest,mean,71.97849397659301,71.717,72.355,0.239,37780.09273567819,37571.36,37939.98,133.45,828.53
131,4.0,1,none,latest,mean,72.14512906074523,71.645,73.079,0.551,37692.801737877846,37177.96,37978.81,306.71,834.87
132,6.0,1,none,latest,mean,72.24060773849487,71.94,72.793,0.307,37628.45342981906,37333.02,37801.04,169.03,841.23
133,8.0,1,none,latest,mean,72.28889446258545,71.617,72.548,0.349,37609.37924982591,37464.15,37991.78,197.94,847.58
134,0.25,100,none,latest,mean,72.31488018035888,71.629,72.653,0.369,37587.002044218774,37401.75,37962.48,201.63,853.94
135,0.5,100,none,latest,mean,72.05058159828187,71.381,72.593,0.404,37726.69332094783,37427.99,38109.98,230.93,860.28
136,1.0,100,none,latest,mean,71.82937035560607,71.466,72.059,0.198,37861.67863153693,37725.84,38081.07,118.43,866.6
137,2.0,100,none,latest,mean,72.07204232215881,71.659,72.522,0.3,37733.37610833994,37490.48,37980.51,168.57,872.94
138,4.0,100,none,latest,mean,71.9098671913147,71.442,72.311,0.358,37829.83324257282,37600.06,38098.07,202.65,879.27
139,6.0,100,none,latest,mean,72.14456295967102,71.712,72.568,0.293,37690.71798068481,37452.64,37952.91,169.2,885.61
